full_name,bazi_score,wuge_score,total_score
王悦嬋,23,93.0,116.0
王悦馥,76,79.8,155.8
王悦任,94,86.9,180.9
王悦於,96,80.8,176.8
王悦豔,23,93.0,116.0
王悦賢,23,93.0,116.0
王悦砚,99,83.7,182.7
王悦菠,76.5,85.6,162.1
王悦羲,94,87.2,181.2
王悦怡,96,86.7,182.7
王悦偲,95,70.6,165.6
王悦四,93.5,83.4,176.9
王悦于,99,89.2,188.2
王悦栩,63,86.7,149.7
王悦始,93,80.8,173.8
王悦涟,76.5,77.3,153.8
王悦瀚,78,91.3,169.3
王悦聿,62,86.9,148.9
王悦鲁,61.5,77.3,138.8
王悦晟,63,70.6,133.6
王悦疼,63,86.7,149.7
王悦缤,78,91.3,169.3
王悦震,76.5,77.3,153.8
王悦赢,63,91.3,154.3
王悦唏,95,86.7,181.7
王悦钿,96,81.2,177.2
王悦佚,97,84.0,181.0
王悦芃,61,86.7,147.7
王悦代,61.5,83.4,144.9
王悦霞,77,87.2,164.2
王悦然,96,83.7,179.7
王悦果,61,80.8,141.8
王悦芙,63,86.7,149.7
王悦宜,61,80.8,141.8
王悦鶯,23,93.0,116.0
王悦淼,79,83.7,162.7
王悦昀,96,80.8,176.8
王悦兵,77,84.0,161.0
王悦仲,62,86.9,148.9
王悦畦,98,70.6,168.6
王悦久,64,89.2,153.2
王悦向,77,86.9,163.9
王悦嵐,23,93.0,116.0
王悦赫,61.5,85.6,147.1
王悦位,97,84.0,181.0
王悦翌,98,70.6,168.6
王悦蝉,93,79.8,172.8
王悦飘,63,91.3,154.3
王悦延,97,84.0,181.0
王悦亞,23,93.0,116.0
王悦衍,76,86.7,162.7
王悦程,64,83.7,147.7
王悦绘,76,81.2,157.2
王悦声,94,87.2,181.2
王悦玲,63,86.7,149.7
王悦樱,63,85.8,148.8
王悦汇,79,81.2,160.2
王悦璟,23,93.0,116.0
王悦萱,61.5,77.3,138.8
王悦泰,61,86.7,147.7
王悦滇,76.5,85.6,162.1
王悦岩,96,80.8,176.8
王悦菁,61.5,85.6,147.1
王悦钦,96,83.7,179.7
王悦鹰,64,86.6,150.6
王悦苓,63,70.6,133.6
王悦臂,76,81.2,157.2
王悦娉,78,86.7,164.7
王悦谰,61.5,87.0,148.5
王悦潘,77,91.1,168.1
王悦渲,79,81.2,160.2
王悦玉,61.5,83.4,144.9
王悦讲,62,87.2,149.2
王悦航,78,86.7,164.7
王悦语,61.5,85.6,147.1
王悦紫,95,70.6,165.6
王悦佶,61,80.8,141.8
王悦陆,62,91.1,153.1
王悦特,63,86.7,149.7
王悦寇,63,70.6,133.6
王悦嫦,93.5,85.6,179.1
王悦婧,63,70.6,133.6
王悦谣,62,87.2,149.2
王悦建,61,86.7,147.7
王悦衡,97,91.1,188.1
王悦娇,61.5,77.3,138.8
王悦瀛,78,91.3,169.3
王悦水,76.5,83.6,160.1
王悦垣,96,86.7,182.7
王悦换,79,81.2,160.2
王悦蒸,62,91.1,153.1
王悦兴,76.5,77.3,153.8
王悦琛,96,81.2,177.2
王悦何,62,84.0,146.0
王悦托,62,84.0,146.0
王悦渭,79,81.2,160.2
王悦翔,99,83.7,182.7
王悦翼,93,79.8,172.8
王悦约,96,86.7,182.7
王悦妮,61,80.8,141.8
王悦耘,78,86.7,164.7
王悦介,61.5,83.6,145.1
王悦菲,61.5,85.6,147.1
王悦树,62,91.1,153.1
王悦男,62,84.0,146.0
王悦霭,61.5,87.0,148.5
王悦钢,94,91.1,185.1
王悦柳,61,86.7,147.7
王悦薇,61,81.2,142.2
王悦卿,63,70.6,133.6
王悦沛,76,80.8,156.8
王悦百,77,86.9,163.9
王悦郝,93.5,85.6,179.1
王悦晔,62,91.1,153.1
王悦禾,76.5,83.4,159.9
王悦溶,76.5,85.6,162.1
王悦颦,76.5,87.0,163.5
王悦逸,96.5,77.3,173.8
王悦咪,76,86.7,162.7
王悦淅,79,83.7,162.7
王悦雨,76,80.8,156.8
王悦轮,61.5,77.3,138.8
王悦友,96.5,83.6,180.1
王悦节,93.5,77.3,170.8
王悦梦,61.5,85.6,147.1
王悦裳,61.5,85.6,147.1
王悦浩,78,70.6,148.6
