name,title,book,sentence,author,dynasty
王未艾,庭燎,夜未艾，庭燎晣晣。,佚名,春秋
王有辉,庭燎,夜乡晨，庭燎有辉。,佚名,春秋
王斯翼,斯干,如跂斯翼，如矢斯棘，如鸟斯革，如翚斯飞，君子攸跻。,佚名,春秋
王攸宁,斯干,君子攸宁。,佚名,春秋
王宗周,正月,赫赫宗周，褒姒灭之！,佚名,春秋
王维宰,十月之交,皇父卿士，番维司徒，家伯维宰，仲允膳夫，棸子内史，蹶维趣马，楀维师氏。,佚名,春秋
王自天,十月之交,下民之孽，匪降自天。,佚名,春秋
王予仕,雨无正,维曰予仕，孔棘且殆。,佚名,春秋
王是程,小旻,哀哉为犹，匪先民是程，匪大犹是经。,佚名,春秋
王顾之,大东,眷言顾之，潸焉出涕。,佚名,春秋
王启明,大东,东有启明，西有长庚。,佚名,春秋
王方奥,小明,昔我往矣，日月方奥。,佚名,春秋
王有庆,楚茨,孝孙有庆，报以介福，万寿无疆！,佚名,春秋
王齐明,甫田,以我齐明，与我牺羊，以社以方。,佚名,春秋
王右之,裳裳者华,右之右之，君子有之。,佚名,春秋
王乐胥,桑扈,君子乐胥，受天之祜。,佚名,春秋
王思柔,桑扈,兕觥其觩，旨酒思柔。,佚名,春秋
王以贤,行苇,敦弓既坚，四鍭既均，舍矢既均，序宾以贤。,佚名,春秋
王静嘉,既醉,笾豆静嘉。,佚名,春秋
王昄章,卷阿,尔土宇昄章，亦孔之厚矣。,佚名,春秋
王树羽,有瞽,设业设虡，崇牙树羽。,佚名,春秋
王令仪,湛露,岂弟君子，莫不令仪。,佚名,春秋
王悦仪,菁菁者莪,既见君子，乐且有仪。,佚名,春秋
王为度,离骚,背绳墨以追曲兮，竞周容以为度。,屈原,先秦
王历兹,离骚,依前圣以节中兮，喟凭心而历兹。,屈原,先秦
王绪风,九章,乘鄂渚而反顾兮，欸秋冬之绪风。,屈原,先秦
王弋言,女曰鸡鸣,弋言加之，与子宜之。,佚名,春秋
王之平,皇矣,修之平之，其灌其栵。,佚名,春秋
王于下,殷武,命于下国，封建厥福。,佚名,春秋
王思辑,公刘,思辑用光，弓矢斯张；,佚名,春秋
王甘棠,甘棠,蔽芾甘棠，勿剪勿败，召伯所憩。,佚名,春秋
王以享,载见,率见昭考，以孝以享。,佚名,春秋
王维之,白驹,絷之维之，以永今夕。,佚名,春秋
王是式,烝民,古训是式。,佚名,春秋
王宝树,古文观止,非谢家之宝树，接孟氏之芳邻。,王博,唐
